provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,010302,Bereleu,Lequidoe,Aileu,20205,Bereleu,202,2,Aileu,Liquidoe,3,matched,1.00,
intl2024,010304,Fahisoi,Lequidoe,Aileu,20206,Fahisoi,202,2,Aileu,Liquidoe,3,matched,1.00,name~Fahisoi(1.00); geom-paired
intl2024,010306,Manucassa,Lequidoe,Aileu,20207,Manucasa,202,2,Aileu,Liquidoe,3,matched,1.00,
intl2024,010401,Acumau,Remexio,Aileu,20301,Acumau,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010409,Tulataqueo,Remexio,Aileu,20302,Tulataqueo,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010408,Suco Liurai,Remexio,Aileu,20303,Suco-Liurai,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010404,Faturasa,Remexio,Aileu,20304,Faturasa,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010402,Fadabloco,Remexio,Aileu,20305,Fadabloco,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010407,Maumeta,Remexio,Aileu,20306,Maumeta,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010405,Hautoho,Remexio,Aileu,20307,Hautoho,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010403,Fahisoi,Remexio,Aileu,20308,Fahisoi,203,2,Aileu,Remexio,3,matched,1.00,
intl2024,010406,Karahili,Remexio,Aileu,20309,Karahili,203,2,Aileu,Remexio,3,new,0.53,
intl2024,010202,Cotolau,Laulara,Aileu,20401,Cotolau,204,2,Aileu,Laulara,3,matched,1.00,
intl2024,010205,Talitu,Laulara,Aileu,20402,Talitu,204,2,Aileu,Laulara,3,matched,1.00,
intl2024,010204,Madabeno,Laulara,Aileu,20403,Madabeno,204,2,Aileu,Laulara,3,matched,1.00,
intl2024,010206,Tohumeta,Laulara,Aileu,20404,Tohumeta,204,2,Aileu,Laulara,3,matched,1.00,
intl2024,010203,Fatisi,Laulara,Aileu,20405,Fatisi,204,2,Aileu,Laulara,3,matched,1.00,
intl2024,010201,Bocolelo,Laulara,Aileu,20406,Bocolelo,204,2,Aileu,Laulara,3,new,0.56,
intl2024,040201,Bahu,Baucau,Baucau,30101,Bahu,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040202,Bucoli,Baucau,Baucau,30102,Bucoli,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040205,Buruma,Baucau,Baucau,30103,Buruma,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040203,Buibau,Baucau,Baucau,30104,Buibau,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040213,Uailili,Baucau,Baucau,30105,Wailili,301,3,Baucau,Baucau,1,matched,1.00,
